close,epoch,high,low,open
1497.0,2025-04-18 11:11:00,1497.16,1494.22,1494.43
1495.03,2025-04-18 11:12:00,1497.1,1495.03,1497.1
1495.77,2025-04-18 11:13:00,1496.67,1494.82,1494.82
1497.54,2025-04-18 11:14:00,1497.65,1494.52,1495.49
1497.46,2025-04-18 11:15:00,1499.05,1496.6,1497.79
1497.8,2025-04-18 11:16:00,1500.34,1497.29,1497.77
1501.26,2025-04-18 11:17:00,1501.26,1497.28,1497.59
1501.52,2025-04-18 11:18:00,1502.52,1501.07,1501.3
1506.65,2025-04-18 11:19:00,1507.28,1501.46,1501.46
1505.94,2025-04-18 11:20:00,1506.58,1505.4,1506.58
1508.38,2025-04-18 11:21:00,1508.66,1505.13,1506.49
1510.76,2025-04-18 11:22:00,1511.74,1508.13,1508.93
1512.18,2025-04-18 11:23:00,1512.18,1509.19,1510.1
1512.05,2025-04-18 11:24:00,1513.42,1511.07,1511.96
1513.67,2025-04-18 11:25:00,1514.37,1511.98,1512.41
1516.61,2025-04-18 11:26:00,1516.9,1513.83,1514.05
1515.93,2025-04-18 11:27:00,1518.93,1515.46,1517.17
1512.96,2025-04-18 11:28:00,1515.4,1511.31,1515.4
1513.51,2025-04-18 11:29:00,1514.35,1512.92,1513.55
1511.98,2025-04-18 11:30:00,1514.19,1511.77,1513.35
1514.53,2025-04-18 11:31:00,1514.83,1512.9,1512.9
1516.02,2025-04-18 11:32:00,1516.37,1514.3,1514.3
1516.55,2025-04-18 11:33:00,1517.35,1515.17,1516.21
1516.42,2025-04-18 11:34:00,1518.11,1516.42,1516.59
1516.64,2025-04-18 11:35:00,1518.27,1515.77,1516.42
1515.1,2025-04-18 11:36:00,1517.57,1514.44,1516.79
1514.76,2025-04-18 11:37:00,1516.56,1514.23,1515.6
1518.85,2025-04-18 11:38:00,1518.85,1514.92,1515.0
1516.63,2025-04-18 11:39:00,1518.29,1516.25,1518.29
1518.72,2025-04-18 11:40:00,1519.57,1516.97,1517.42
1517.57,2025-04-18 11:41:00,1520.05,1517.57,1519.24
1519.78,2025-04-18 11:42:00,1520.43,1516.34,1517.2
1521.24,2025-04-18 11:43:00,1521.68,1519.25,1519.83
1520.64,2025-04-18 11:44:00,1521.84,1519.66,1520.68
1522.0,2025-04-18 11:45:00,1522.0,1519.85,1520.88
1524.44,2025-04-18 11:46:00,1524.44,1520.66,1521.3
1525.64,2025-04-18 11:47:00,1526.94,1524.04,1524.27
1526.59,2025-04-18 11:48:00,1526.59,1524.55,1525.49
1528.68,2025-04-18 11:49:00,1529.52,1526.35,1526.35
1523.66,2025-04-18 11:50:00,1527.66,1522.69,1527.66
1527.3,2025-04-18 11:51:00,1527.3,1523.79,1524.01
1527.65,2025-04-18 11:52:00,1528.43,1526.72,1526.72
1526.53,2025-04-18 11:53:00,1528.72,1526.53,1527.57
1525.78,2025-04-18 11:54:00,1526.46,1523.78,1526.43
1526.72,2025-04-18 11:55:00,1526.72,1524.48,1525.71
1521.25,2025-04-18 11:56:00,1526.34,1521.25,1526.34
1520.41,2025-04-18 11:57:00,1522.73,1520.41,1521.27
1518.22,2025-04-18 11:58:00,1520.53,1518.22,1520.25
1520.76,2025-04-18 11:59:00,1520.76,1517.91,1517.91
1522.16,2025-04-18 12:00:00,1522.34,1520.37,1520.37
1522.28,2025-04-18 12:01:00,1522.43,1521.09,1522.19
1522.59,2025-04-18 12:02:00,1525.39,1522.53,1522.6
1522.22,2025-04-18 12:03:00,1524.44,1521.67,1522.05
1520.08,2025-04-18 12:04:00,1522.23,1519.1,1522.23
1520.27,2025-04-18 12:05:00,1520.81,1519.27,1520.3
1523.04,2025-04-18 12:06:00,1523.04,1519.71,1520.25
1519.03,2025-04-18 12:07:00,1523.79,1519.03,1523.79
1520.26,2025-04-18 12:08:00,1520.88,1518.92,1519.21
1523.8,2025-04-18 12:09:00,1523.8,1519.17,1520.09
1524.0,2025-04-18 12:10:00,1524.94,1523.71,1523.86
1522.05,2025-04-18 12:11:00,1524.14,1522.05,1523.34
1519.23,2025-04-18 12:12:00,1522.47,1518.81,1522.47
1518.68,2025-04-18 12:13:00,1519.63,1517.75,1518.76
1517.89,2025-04-18 12:14:00,1518.64,1516.72,1518.64
1515.73,2025-04-18 12:15:00,1517.72,1514.81,1517.72
1517.33,2025-04-18 12:16:00,1517.77,1513.97,1515.32
1515.34,2025-04-18 12:17:00,1518.35,1515.34,1516.98
1516.26,2025-04-18 12:18:00,1517.13,1515.07,1515.12
1514.0,2025-04-18 12:19:00,1517.79,1513.97,1516.37
1516.81,2025-04-18 12:20:00,1516.99,1514.1,1514.1
1515.68,2025-04-18 12:21:00,1516.58,1514.23,1515.95
1517.04,2025-04-18 12:22:00,1517.73,1515.46,1515.46
1514.17,2025-04-18 12:23:00,1517.18,1513.98,1516.78
1515.96,2025-04-18 12:24:00,1516.82,1514.18,1514.33
1516.49,2025-04-18 12:25:00,1517.57,1515.93,1516.21
1517.59,2025-04-18 12:26:00,1518.44,1516.2,1516.2
1519.29,2025-04-18 12:27:00,1519.34,1517.39,1518.14
1519.15,2025-04-18 12:28:00,1519.74,1518.24,1519.12
1517.75,2025-04-18 12:29:00,1520.26,1517.68,1518.51
1518.09,2025-04-18 12:30:00,1519.54,1517.33,1517.52
1518.97,2025-04-18 12:31:00,1519.8,1517.32,1518.37
1520.85,2025-04-18 12:32:00,1520.85,1518.63,1518.8
1522.35,2025-04-18 12:33:00,1522.72,1520.44,1520.48
1526.08,2025-04-18 12:34:00,1527.02,1522.83,1523.0
1527.05,2025-04-18 12:35:00,1527.13,1525.55,1526.42
1523.47,2025-04-18 12:36:00,1527.88,1523.05,1527.88
1521.54,2025-04-18 12:37:00,1523.98,1520.97,1523.65
1522.82,2025-04-18 12:38:00,1525.16,1521.94,1521.94
1520.88,2025-04-18 12:39:00,1523.01,1519.19,1523.01
1520.83,2025-04-18 12:40:00,1522.67,1520.56,1520.61
1521.21,2025-04-18 12:41:00,1521.97,1519.98,1521.22
1522.51,2025-04-18 12:42:00,1523.35,1521.54,1521.96
1520.58,2025-04-18 12:43:00,1522.51,1519.94,1522.39
1521.56,2025-04-18 12:44:00,1521.77,1519.23,1520.5
1526.97,2025-04-18 12:45:00,1526.98,1521.91,1521.91
1527.26,2025-04-18 12:46:00,1528.82,1526.11,1526.53
1526.61,2025-04-18 12:47:00,1527.97,1526.12,1527.3
1526.87,2025-04-18 12:48:00,1527.98,1526.22,1526.51
1526.97,2025-04-18 12:49:00,1529.05,1525.61,1526.4
1525.05,2025-04-18 12:50:00,1526.56,1523.7,1526.43
1523.16,2025-04-18 12:51:00,1525.48,1522.53,1525.48
1526.39,2025-04-18 12:52:00,1526.39,1523.28,1523.28
1529.23,2025-04-18 12:53:00,1529.23,1525.72,1525.72
1528.65,2025-04-18 12:54:00,1530.18,1527.91,1527.91
1527.99,2025-04-18 12:55:00,1528.51,1527.12,1527.52
1528.77,2025-04-18 12:56:00,1529.7,1528.03,1528.25
1530.41,2025-04-18 12:57:00,1531.58,1528.09,1528.54
1529.86,2025-04-18 12:58:00,1532.57,1529.03,1530.87
1529.65,2025-04-18 12:59:00,1530.19,1528.45,1530.03
1530.4,2025-04-18 13:00:00,1531.99,1529.68,1529.68
1535.07,2025-04-18 13:01:00,1535.33,1530.22,1530.22
1536.27,2025-04-18 13:02:00,1537.24,1535.19,1535.19
1538.96,2025-04-18 13:03:00,1539.33,1536.42,1536.62
1539.72,2025-04-18 13:04:00,1539.91,1537.67,1538.55
1536.21,2025-04-18 13:05:00,1539.01,1535.61,1539.01
1534.88,2025-04-18 13:06:00,1536.89,1533.99,1536.4
1535.66,2025-04-18 13:07:00,1537.16,1535.06,1535.4
1535.96,2025-04-18 13:08:00,1537.55,1535.31,1536.32
1540.49,2025-04-18 13:09:00,1540.49,1536.04,1536.04
1536.94,2025-04-18 13:10:00,1540.83,1536.94,1540.57
1535.81,2025-04-18 13:11:00,1537.81,1535.11,1537.14
1539.2,2025-04-18 13:12:00,1539.48,1535.71,1535.71
1541.16,2025-04-18 13:13:00,1542.94,1539.47,1539.47
1539.58,2025-04-18 13:14:00,1540.68,1538.13,1539.98
1543.41,2025-04-18 13:15:00,1543.44,1539.52,1539.66
1542.95,2025-04-18 13:16:00,1544.21,1542.13,1542.59
1544.29,2025-04-18 13:17:00,1544.85,1542.45,1542.65
1544.92,2025-04-18 13:18:00,1544.98,1543.35,1543.79
1547.05,2025-04-18 13:19:00,1547.12,1544.61,1545.1
1546.15,2025-04-18 13:20:00,1549.17,1546.15,1546.26
1545.1,2025-04-18 13:21:00,1546.77,1543.43,1546.46
1544.36,2025-04-18 13:22:00,1546.97,1544.36,1545.11
1544.4,2025-04-18 13:23:00,1544.49,1543.04,1544.22
1545.9,2025-04-18 13:24:00,1546.47,1544.47,1544.77
1547.37,2025-04-18 13:25:00,1549.34,1545.41,1546.3
1547.86,2025-04-18 13:26:00,1548.43,1547.03,1547.38
1549.69,2025-04-18 13:27:00,1549.81,1547.66,1547.77
1550.37,2025-04-18 13:28:00,1550.69,1548.66,1550.29
1549.62,2025-04-18 13:29:00,1551.53,1549.49,1550.66
1550.41,2025-04-18 13:30:00,1550.41,1547.98,1549.5
1552.09,2025-04-18 13:31:00,1552.27,1550.26,1550.65
1549.96,2025-04-18 13:32:00,1551.91,1548.38,1551.91
1551.92,2025-04-18 13:33:00,1551.92,1549.81,1550.24
1551.99,2025-04-18 13:34:00,1553.56,1551.55,1552.84
1548.68,2025-04-18 13:35:00,1551.71,1548.09,1551.71
1548.63,2025-04-18 13:36:00,1550.46,1548.11,1548.81
1549.84,2025-04-18 13:37:00,1550.04,1548.45,1548.65
1547.13,2025-04-18 13:38:00,1550.04,1547.13,1549.51
1548.6,2025-04-18 13:39:00,1548.6,1545.72,1546.84
1550.94,2025-04-18 13:40:00,1551.75,1549.56,1549.56
1550.93,2025-04-18 13:41:00,1552.66,1550.81,1551.13
1547.37,2025-04-18 13:42:00,1551.08,1547.24,1551.05
1547.93,2025-04-18 13:43:00,1548.06,1545.29,1546.93
1551.59,2025-04-18 13:44:00,1551.59,1547.15,1547.48
1555.18,2025-04-18 13:45:00,1555.26,1551.3,1552.19
1555.58,2025-04-18 13:46:00,1557.25,1554.95,1555.82
1557.31,2025-04-18 13:47:00,1557.37,1553.85,1555.02
1557.57,2025-04-18 13:48:00,1558.51,1557.02,1557.48
1559.83,2025-04-18 13:49:00,1561.34,1557.01,1557.61
1562.07,2025-04-18 13:50:00,1562.41,1559.68,1560.15
1558.42,2025-04-18 13:51:00,1562.81,1558.37,1562.21
1562.07,2025-04-18 13:52:00,1562.82,1559.28,1559.28
1561.85,2025-04-18 13:53:00,1562.95,1560.73,1561.49
1560.34,2025-04-18 13:54:00,1561.45,1559.03,1561.45
1556.67,2025-04-18 13:55:00,1560.26,1556.67,1559.8
1553.71,2025-04-18 13:56:00,1557.67,1553.0,1556.84
1559.63,2025-04-18 13:57:00,1560.02,1553.79,1554.16
1556.58,2025-04-18 13:58:00,1559.23,1555.84,1559.23
1556.97,2025-04-18 13:59:00,1557.94,1555.98,1556.59
1557.33,2025-04-18 14:00:00,1558.89,1556.63,1556.63
1556.0,2025-04-18 14:01:00,1557.99,1554.83,1557.46
1554.38,2025-04-18 14:02:00,1556.65,1553.91,1556.27
1551.72,2025-04-18 14:03:00,1553.49,1551.03,1553.49
1551.05,2025-04-18 14:04:00,1553.19,1551.05,1551.72
1551.13,2025-04-18 14:05:00,1551.81,1549.08,1550.58
1552.38,2025-04-18 14:06:00,1554.15,1551.06,1551.06
1553.14,2025-04-18 14:07:00,1553.64,1550.32,1551.97
1552.95,2025-04-18 14:08:00,1553.6,1550.37,1553.0
1548.41,2025-04-18 14:09:00,1552.57,1548.36,1552.57
1545.88,2025-04-18 14:10:00,1549.07,1545.16,1548.74
1542.57,2025-04-18 14:11:00,1546.39,1542.57,1544.87
1543.94,2025-04-18 14:12:00,1544.66,1541.39,1542.11
1540.81,2025-04-18 14:13:00,1544.46,1540.78,1543.91
1541.62,2025-04-18 14:14:00,1541.62,1539.66,1541.24
1542.19,2025-04-18 14:15:00,1543.16,1541.09,1542.14
1539.45,2025-04-18 14:16:00,1542.77,1538.76,1542.07
1543.11,2025-04-18 14:17:00,1543.11,1538.66,1539.69
1544.4,2025-04-18 14:18:00,1545.1,1542.69,1543.3
1546.43,2025-04-18 14:19:00,1546.43,1543.14,1543.9
1544.71,2025-04-18 14:20:00,1547.18,1544.71,1546.58
1541.73,2025-04-18 14:21:00,1544.33,1540.44,1544.33
1543.09,2025-04-18 14:22:00,1543.09,1541.24,1541.25
1543.92,2025-04-18 14:23:00,1543.94,1541.9,1543.22
1547.61,2025-04-18 14:24:00,1548.52,1543.54,1544.37
1545.45,2025-04-18 14:25:00,1548.15,1545.45,1547.81
1542.18,2025-04-18 14:26:00,1545.47,1542.18,1544.97
1543.39,2025-04-18 14:27:00,1544.0,1542.57,1542.57
1540.51,2025-04-18 14:28:00,1543.25,1539.85,1543.23
1541.78,2025-04-18 14:29:00,1541.78,1538.67,1540.73
1542.79,2025-04-18 14:30:00,1543.94,1541.26,1541.79
1545.7,2025-04-18 14:31:00,1546.36,1542.2,1543.11
1545.96,2025-04-18 14:32:00,1548.56,1544.67,1545.56
1542.05,2025-04-18 14:33:00,1546.4,1542.05,1546.4
1538.61,2025-04-18 14:34:00,1542.58,1538.61,1542.42
1540.9,2025-04-18 14:35:00,1541.03,1538.26,1538.26
1543.31,2025-04-18 14:36:00,1544.86,1541.19,1541.19
1543.41,2025-04-18 14:37:00,1544.24,1542.31,1543.32
1541.89,2025-04-18 14:38:00,1543.3,1540.66,1543.3
1543.74,2025-04-18 14:39:00,1543.74,1541.69,1542.07
1544.6,2025-04-18 14:40:00,1545.3,1542.33,1543.68
1545.31,2025-04-18 14:41:00,1547.7,1544.29,1544.69
1542.73,2025-04-18 14:42:00,1545.07,1542.03,1545.07
1545.47,2025-04-18 14:43:00,1545.9,1542.28,1542.72
1545.05,2025-04-18 14:44:00,1545.5,1543.81,1545.03
1547.5,2025-04-18 14:45:00,1547.61,1544.59,1544.74
1546.83,2025-04-18 14:46:00,1548.28,1545.97,1547.36
1544.45,2025-04-18 14:47:00,1546.03,1543.52,1546.03
1546.34,2025-04-18 14:48:00,1546.52,1543.78,1544.45
1542.06,2025-04-18 14:49:00,1547.3,1542.06,1546.09
1540.4,2025-04-18 14:50:00,1542.2,1539.57,1541.34
1541.53,2025-04-18 14:51:00,1543.43,1539.77,1540.25
1540.52,2025-04-18 14:52:00,1542.54,1540.34,1541.51
1538.29,2025-04-18 14:53:00,1541.39,1538.28,1540.73
1537.43,2025-04-18 14:54:00,1539.21,1537.42,1538.7
1533.12,2025-04-18 14:55:00,1537.26,1533.12,1537.26
1534.14,2025-04-18 14:56:00,1534.18,1532.56,1532.88
1537.53,2025-04-18 14:57:00,1537.54,1533.96,1533.96
1537.95,2025-04-18 14:58:00,1539.97,1537.6,1537.63
1534.73,2025-04-18 14:59:00,1537.83,1534.12,1537.34
1537.61,2025-04-18 15:00:00,1537.79,1534.74,1534.94
1533.43,2025-04-18 15:01:00,1537.25,1532.29,1537.25
1535.62,2025-04-18 15:02:00,1537.26,1533.19,1533.66
1536.58,2025-04-18 15:03:00,1536.59,1534.49,1535.66
1538.66,2025-04-18 15:04:00,1539.43,1536.64,1536.64
1542.73,2025-04-18 15:05:00,1542.83,1538.64,1538.95
1544.11,2025-04-18 15:06:00,1544.43,1541.73,1542.91
1545.15,2025-04-18 15:07:00,1545.15,1542.19,1543.61
1550.15,2025-04-18 15:08:00,1550.15,1545.07,1545.48
1549.64,2025-04-18 15:09:00,1550.36,1548.29,1549.66
1550.28,2025-04-18 15:10:00,1550.87,1549.13,1549.54
1549.55,2025-04-18 15:11:00,1552.19,1549.27,1550.47
1549.84,2025-04-18 15:12:00,1550.9,1549.19,1549.29
1549.04,2025-04-18 15:13:00,1550.64,1548.65,1549.88
1548.66,2025-04-18 15:14:00,1550.94,1548.66,1549.35
1548.82,2025-04-18 15:15:00,1549.49,1548.02,1548.7
1549.95,2025-04-18 15:16:00,1550.49,1548.4,1548.4
1551.87,2025-04-18 15:17:00,1551.87,1549.19,1549.19
1550.79,2025-04-18 15:18:00,1552.42,1549.63,1552.19
1551.18,2025-04-18 15:19:00,1551.46,1549.76,1550.15
1553.94,2025-04-18 15:20:00,1553.94,1550.02,1550.97
1554.93,2025-04-18 15:21:00,1554.93,1552.98,1554.27
1555.87,2025-04-18 15:22:00,1555.87,1553.83,1555.01
1556.91,2025-04-18 15:23:00,1558.88,1556.33,1556.54
1551.61,2025-04-18 15:24:00,1557.14,1551.59,1557.14
1549.42,2025-04-18 15:25:00,1551.8,1548.71,1551.8
1548.36,2025-04-18 15:26:00,1551.61,1547.88,1548.92
1549.23,2025-04-18 15:27:00,1549.94,1547.91,1549.04
1545.77,2025-04-18 15:28:00,1548.91,1544.88,1548.91
1544.04,2025-04-18 15:29:00,1546.07,1544.04,1545.6
1543.1,2025-04-18 15:30:00,1544.57,1542.67,1544.04
1538.77,2025-04-18 15:31:00,1543.16,1538.77,1542.97
1537.67,2025-04-18 15:32:00,1538.83,1536.71,1538.34
1535.02,2025-04-18 15:33:00,1538.35,1535.0,1537.54
1533.51,2025-04-18 15:34:00,1536.26,1532.97,1535.95
1530.73,2025-04-18 15:35:00,1533.71,1530.73,1533.71
1531.88,2025-04-18 15:36:00,1532.26,1529.68,1530.52
1533.19,2025-04-18 15:37:00,1533.8,1531.41,1531.45
1530.06,2025-04-18 15:38:00,1532.19,1528.7,1532.19
1532.78,2025-04-18 15:39:00,1533.35,1530.45,1530.61
1532.02,2025-04-18 15:40:00,1534.12,1532.02,1532.69
1532.25,2025-04-18 15:41:00,1533.67,1531.84,1532.13
1534.02,2025-04-18 15:42:00,1535.44,1531.81,1532.07
1536.86,2025-04-18 15:43:00,1537.52,1534.57,1534.57
1537.06,2025-04-18 15:44:00,1537.61,1535.69,1537.16
1537.73,2025-04-18 15:45:00,1538.56,1535.47,1537.01
